Datum_formiranja;Datum_Primene;Vazi_za;Srednji_kurs
 05.06.2006.; 06.06.2006.;1; 87,2764
 06.06.2006.; 07.06.2006.;1; 87,4000
 07.06.2006.; 08.06.2006.;1; 87,3500
 08.06.2006.; 09.06.2006.;1; 87,2800
 09.06.2006.; 10.06.2006.;1; 86,9900
 09.06.2006.; 11.06.2006.;1; 86,9900
 09.06.2006.; 12.06.2006.;1; 86,9900
 12.06.2006.; 13.06.2006.;1; 86,8900
 13.06.2006.; 14.06.2006.;1; 86,8900
 14.06.2006.; 15.06.2006.;1; 86,6990
 15.06.2006.; 16.06.2006.;1; 86,5500
 16.06.2006.; 17.06.2006.;1; 86,4000
 16.06.2006.; 18.06.2006.;1; 86,4000
 16.06.2006.; 19.06.2006.;1; 86,4000
 19.06.2006.; 20.06.2006.;1; 86,4000
 20.06.2006.; 21.06.2006.;1; 86,4000
 21.06.2006.; 22.06.2006.;1; 86,3070
 22.06.2006.; 23.06.2006.;1; 86,4900
 23.06.2006.; 24.06.2006.;1; 86,4900
 23.06.2006.; 25.06.2006.;1; 86,4900
 23.06.2006.; 26.06.2006.;1; 86,4900
 26.06.2006.; 27.06.2006.;1; 86,3850
 27.06.2006.; 28.06.2006.;1; 86,3500
 28.06.2006.; 29.06.2006.;1; 86,1500
 29.06.2006.; 30.06.2006.;1; 86,0000
 30.06.2006.; 01.07.2006.;1; 84,9995
 30.06.2006.; 02.07.2006.;1; 84,9995
 30.06.2006.; 03.07.2006.;1; 84,9995
 03.07.2006.; 04.07.2006.;1; 84,0000
 04.07.2006.; 05.07.2006.;1; 84,0000
 05.07.2006.; 06.07.2006.;1; 84,6000
 06.07.2006.; 07.07.2006.;1; 84,8803
 07.07.2006.; 08.07.2006.;1; 84,8500
 07.07.2006.; 09.07.2006.;1; 84,8500
 07.07.2006.; 10.07.2006.;1; 84,8500
 10.07.2006.; 11.07.2006.;1; 84,8500
 11.07.2006.; 12.07.2006.;1; 84,3000
 12.07.2006.; 13.07.2006.;1; 84,0000
 13.07.2006.; 14.07.2006.;1; 83,5749
 14.07.2006.; 15.07.2006.;1; 83,5900
 14.07.2006.; 16.07.2006.;1; 83,5900
 14.07.2006.; 17.07.2006.;1; 83,5900
 17.07.2006.; 18.07.2006.;1; 83,5500
 18.07.2006.; 19.07.2006.;1; 83,0000
 19.07.2006.; 20.07.2006.;1; 83,1500
 20.07.2006.; 21.07.2006.;1; 83,1200
 21.07.2006.; 22.07.2006.;1; 83,2500
 21.07.2006.; 23.07.2006.;1; 83,2500
 21.07.2006.; 24.07.2006.;1; 83,2500
 24.07.2006.; 25.07.2006.;1; 83,4000
 25.07.2006.; 26.07.2006.;1; 83,4000
 26.07.2006.; 27.07.2006.;1; 83,1400
 27.07.2006.; 28.07.2006.;1; 83,0000
 28.07.2006.; 29.07.2006.;1; 83,0001
 28.07.2006.; 30.07.2006.;1; 83,0001
 28.07.2006.; 31.07.2006.;1; 83,0001
 31.07.2006.; 01.08.2006.;1; 83,0500
 01.08.2006.; 02.08.2006.;1; 83,0000
 02.08.2006.; 03.08.2006.;1; 83,0000
 03.08.2006.; 04.08.2006.;1; 83,0000
 04.08.2006.; 05.08.2006.;1; 83,0000
 04.08.2006.; 06.08.2006.;1; 83,0000
 04.08.2006.; 07.08.2006.;1; 83,0000
 08.08.2006.; 08.08.2006.;1; 83,0150
 09.08.2006.; 09.08.2006.;1; 83,0000
 10.08.2006.; 10.08.2006.;1; 82,8500
 11.08.2006.; 11.08.2006.;1; 83,0000
 11.08.2006.; 12.08.2006.;1; 83,0000
 11.08.2006.; 13.08.2006.;1; 83,0000
 14.08.2006.; 14.08.2006.;1; 83,0000
 15.08.2006.; 15.08.2006.;1; 82,9000
 16.08.2006.; 16.08.2006.;1; 82,9000
 17.08.2006.; 17.08.2006.;1; 82,0000
 18.08.2006.; 18.08.2006.;1; 81,5000
 18.08.2006.; 19.08.2006.;1; 81,5000
 18.08.2006.; 20.08.2006.;1; 81,5000
 21.08.2006.; 21.08.2006.;1; 81,4600
 22.08.2006.; 22.08.2006.;1; 81,7700
 23.08.2006.; 23.08.2006.;1; 82,1500
 24.08.2006.; 24.08.2006.;1; 82,6000
 25.08.2006.; 25.08.2006.;1; 82,8399
 25.08.2006.; 26.08.2006.;1; 82,8399
 25.08.2006.; 27.08.2006.;1; 82,8399
 28.08.2006.; 28.08.2006.;1; 83,2500
 29.08.2006.; 29.08.2006.;1; 84,0695
 30.08.2006.; 30.08.2006.;1; 84,5000
 31.08.2006.; 31.08.2006.;1; 84,6000
 01.09.2006.; 01.09.2006.;1; 84,4000
 01.09.2006.; 02.09.2006.;1; 84,4000
 01.09.2006.; 03.09.2006.;1; 84,4000
 04.09.2006.; 04.09.2006.;1; 84,2000
 05.09.2006.; 05.09.2006.;1; 83,7000
 06.09.2006.; 06.09.2006.;1; 82,8000
 07.09.2006.; 07.09.2006.;1; 83,0500
 08.09.2006.; 08.09.2006.;1; 83,3000
 08.09.2006.; 09.09.2006.;1; 83,3000
 08.09.2006.; 10.09.2006.;1; 83,3000
 11.09.2006.; 11.09.2006.;1; 83,0500
 12.09.2006.; 12.09.2006.;1; 82,9700
 13.09.2006.; 13.09.2006.;1; 83,1500
 14.09.2006.; 14.09.2006.;1; 83,7000
 15.09.2006.; 15.09.2006.;1; 84,0000
 15.09.2006.; 16.09.2006.;1; 84,0000
 15.09.2006.; 17.09.2006.;1; 84,0000
 15.09.2006.; 18.09.2006.;1; 84,0000
 19.09.2006.; 19.09.2006.;1; 83,3900
 20.09.2006.; 20.09.2006.;1; 82,5950
 21.09.2006.; 21.09.2006.;1; 81,7000
 22.09.2006.; 22.09.2006.;1; 81,7500
 22.09.2006.; 23.09.2006.;1; 81,7500
 22.09.2006.; 24.09.2006.;1; 81,7500
 25.09.2006.; 25.09.2006.;1; 82,0000
 26.09.2006.; 26.09.2006.;1; 82,8000
 27.09.2006.; 27.09.2006.;1; 82,9500
 28.09.2006.; 28.09.2006.;1; 82,8000
 29.09.2006.; 29.09.2006.;1; 82,0000
 29.09.2006.; 30.09.2006.;1; 82,0000
 29.09.2006.; 01.10.2006.;1; 82,0000
 02.10.2006.; 02.10.2006.;1; 81,2400
 03.10.2006.; 03.10.2006.;1; 80,1500
 04.10.2006.; 04.10.2006.;1; 80,0750
 05.10.2006.; 05.10.2006.;1; 80,0000
 06.10.2006.; 06.10.2006.;1; 80,3350
 06.10.2006.; 07.10.2006.;1; 80,3350
 06.10.2006.; 08.10.2006.;1; 80,3350
 09.10.2006.; 09.10.2006.;1; 81,1000
 10.10.2006.; 10.10.2006.;1; 81,1000
 11.10.2006.; 11.10.2006.;1; 81,4000
 12.10.2006.; 12.10.2006.;1; 81,5800
 13.10.2006.; 13.10.2006.;1; 81,7800
 13.10.2006.; 14.10.2006.;1; 81,7800
 13.10.2006.; 15.10.2006.;1; 81,7800
 16.10.2006.; 16.10.2006.;1; 82,0850
 17.10.2006.; 17.10.2006.;1; 81,9800
 18.10.2006.; 18.10.2006.;1; 81,4000
 19.10.2006.; 19.10.2006.;1; 80,7950
 20.10.2006.; 20.10.2006.;1; 80,5800
 20.10.2006.; 21.10.2006.;1; 80,5800
 20.10.2006.; 22.10.2006.;1; 80,5800
 23.10.2006.; 23.10.2006.;1; 80,9101
 24.10.2006.; 24.10.2006.;1; 81,1250
 25.10.2006.; 25.10.2006.;1; 81,0300
 26.10.2006.; 26.10.2006.;1; 80,1000
 27.10.2006.; 27.10.2006.;1; 80,3000
 27.10.2006.; 28.10.2006.;1; 80,3000
 27.10.2006.; 29.10.2006.;1; 80,3000
 30.10.2006.; 30.10.2006.;1; 80,3425
 31.10.2006.; 31.10.2006.;1; 79,9200
 01.11.2006.; 01.11.2006.;1; 79,0000
